Date,Price,Open,High,Low,Vol.,Change %,,Rolling Change
13-07-2023,"29,628.20","29,158.55","29,903.65","29,115.70",39.79M,1.75%,,-0.04%
14-07-2023,"30,945.50","29,860.55","31,017.55","29,847.05",53.64M,4.45%,,0.54%
17-07-2023,"31,041.60","31,007.60","31,658.10","30,805.00",51.05M,0.31%,,0.60%
18-07-2023,"31,371.15","31,089.90","31,491.75","30,865.85",37.12M,1.06%,,0.87%
19-07-2023,"31,353.55","31,490.45","31,653.85","31,068.15",29.97M,-0.06%,,1.04%
20-07-2023,"31,145.95","31,292.35","31,348.60","30,960.75",20.48M,-0.66%,,0.88%
21-07-2023,"29,871.05","29,854.25","30,338.10","29,701.20",78.28M,-4.09%,,0.39%
24-07-2023,"29,843.45","29,993.85","30,112.90","29,807.15",21.69M,-0.09%,,0.13%
25-07-2023,"29,761.15","29,899.00","29,921.40","29,685.40",17.99M,-0.28%,,-0.54%
26-07-2023,"29,800.40","29,854.40","29,988.90","29,770.20",15.98M,0.13%,,-0.57%
27-07-2023,"29,745.00","29,826.00","29,895.00","29,670.50",36.22M,-0.19%,,-0.75%
28-07-2023,"29,490.25","29,741.15","29,829.75","29,339.35",19.45M,-0.86%,,-0.86%
31-07-2023,"29,928.45","29,605.50","29,951.60","29,452.35",22.49M,1.49%,,-0.56%
01-08-2023,"30,288.65","29,998.15","30,348.75","29,948.00",20.72M,1.20%,,0.20%
02-08-2023,"30,043.60","30,253.10","30,259.40","29,801.55",19.25M,-0.81%,,0.10%
03-08-2023,"29,971.15","29,913.65","30,054.35","29,685.15",17.32M,-0.24%,,0.10%
04-08-2023,"30,436.10","30,082.55","30,555.80","30,027.30",22.49M,1.55%,,0.31%
07-08-2023,"30,779.25","30,582.45","30,809.00","30,451.35",14.99M,1.13%,,0.49%
08-08-2023,"30,824.95","30,817.25","30,910.55","30,670.15",22.48M,0.15%,,0.64%
09-08-2023,"30,940.05","30,772.50","30,964.70","30,590.55",16.95M,0.37%,,0.48%
10-08-2023,"30,867.00","30,845.65","30,967.75","30,722.20",16.85M,-0.24%,,0.27%
11-08-2023,"30,819.15","30,950.30","31,164.30","30,764.50",23.25M,-0.16%,,0.37%
14-08-2023,"31,028.90","30,755.80","31,058.90","30,570.50",13.65M,0.68%,,0.50%
16-08-2023,"31,212.10","31,129.30","31,304.75","31,047.00",20.44M,0.59%,,0.36%
